"隐藏","文件夹名","显示名","投稿人","标题(日)","标题(英)","投稿时间","拍摄时间","显示地址(英)","补充照片","对话/段落(日)","对话/段落(英)"
"","aaa(1)","","あああ","","","2026/04/27","2026/04/27 17:40","bicycle parking area, Kyoto City University of Arts, Shimogyo Ward, Kyoto","","",""
"","aaa(2)","","あああ","","","2026/05/03","2026/05/02","approx. near a station, Kyoto","","",""
"","IMG_6383","★ Sliden","Sliden","","","2026/04/07","2025/07/21 15:20","approx. Osaka","","",""
"","IMG_8251","★ ygrons","ygrons","","","2026/03/14","2026/03/14 11:37","approx. Kyoto","","",""
"","IMG_8939","★ Anonymous_260520","","","","2025/05/20","2026/05/20 19:55","approx. Hyogo, Kobe City","","",""
"","LIU_SIJIA","","LIU SIJIA","","","2026/04/21","2026/04/21","approx. Nishi-Chiba Station, Chuo Ward, Chiba City, Chiba","","",""
"","LYUCHEN_3_","★ LYUCHEN(3)","LYUCHEN","","","2026/05/22","2026/05/22 20:25","the women's restroom on the second floor of Yodobashi Chiba at Chiba Station, Chuo Ward, Chiba","","",""
"","LYUCHEN_4_","★ LYUCHEN(4)","LYUCHEN","","","2026/05/29","2026/05/29 15:21","approx. Chiba, Chiba City","","",""
"","LYUCHEN(1)","","LYUCHEN","春夏秋冬、いつもそこに","Always There, Through the Seasons","2026/03/29","2026/03/29 20:05","McDonald's Chiba Fujimicho, Chuo Ward, Chiba","LYUCHEN_1_2.mp4 ; LYUCHEN_1_3.jpg ; LYUCHEN_1_4.mp4 ; LYUCHEN_1_5.jpg ; LYUCHEN_1_6.jpg ; LYUCHEN_1_7.jpg","[2026.03.29]
編者：これ、めっちゃシュールで面白いね。(笑)
投稿者：ほんとに笑えるよね。たまたま通りかかったら、木に傘が引っかかってて。どうやって掛けたのか想像つかない。そんなに飲んだのかな。
編者：夜中に飲んで帰る途中で、誰かの「ノリでやってみよう」っていうチャレンジっぽい感じするね。
投稿者：もしかして誰かの傘を拾って、そのまま…………………。
編者：やばい、それはちょっと悪いね。(笑)
[2026.04.24]
投稿者：まだあそこにあるよ!
編者：葉っぱも出てきたのに、まだある!
投稿者：春夏秋冬で記録できそうだね。こんな細い枝に掛かってたんだ。めっちゃ逞しい。奇跡の傘だね!!","[2026.03.29]
Editor: Haha, this is so absurd-it's really interesting.
Sender: It's actually hilarious. I just happened to pass by and saw an umbrella hanging on a tree. It's hard to imagine how it even got up there. Were they that drunk?
Editor: Feels like one of those ""let's try this"" ideas someone had on the way home after drinking at night.
Sender: Maybe they picked up someone else's umbrella and then...
Editor: Haha, that's kind of evil.
[2026.04.24]
Sender: It's still there!
Editor: Even though the leaves have started to grow in, it's still hanging on!
Sender: Looks like we'll be able to document it through all four seasons. I can't believe it was hanging on such a tiny branch. It's so resilient. It really is a miracle umbrella!"
"","LYUCHEN(2)","","LYUCHEN","","","2026/04/28","2026/04/28 11:47","under the railway bridge near Nishi-Chiba Station (Chuo-Sobu Line), Chuo Ward, Chiba","","",""
"","rednote_102652598","","@rednote/102652598","","","2026/04/20","2025/05/02","approx. Oshiage Station, Sumida City, Tokyo","","",""
"","rednote_1164552325(1)","","@rednote/1164552325","","","2026/04/21","2024/06/13","Kinshicho Station, Sumida City, Tokyo","","投稿者：この傘、投稿しても大丈夫かな?一時期、道端に忘れられた傘を撮るのにハマってたんだ。
編者：バッチリだね!これ台風の日の傘って感じだね(笑)
投稿者：次の日、公園の公衆トイレでもう一本きれいな傘を見つけたんだ。
編者：この傘、なんか高級そうだね。持ち主、きっとショックだったと思う。
投稿者：そうそう。帰りに公園を通ったらまだあって、2回目に見たときにそのまま持ち帰って、今まで使ってるよ(笑)","Sender: How about this umbrella? For a while, I was really into taking photos of umbrellas forgotten in street corners.
Editor: Oh, that's perfect Haha, looks exactly like what you'd see after a typhoon.
Sender: The next day, I found another beautiful umbrella inside a public restroom at the park.
Editor: This one looks pretty high-end. I bet the owner was devastated to lose it
Sender: Totally. I saw it was still there when I passed the park on the bus, so the second time I went by, I just took it home. It's been put to good use ever since! (Laughs)"
"","rednote_1164552325(2)","","@rednote/1164552325","持って帰りたい！","I Really Want to Take It Home!","2026/04/21","2024/06/14","public restroom in a park, Kinshicho area, Sumida City, Tokyo","","投稿者：この傘、投稿しても大丈夫かな?一時期、道端に忘れられた傘を撮るのにハマってたんだ。
編者：バッチリだね!これ台風の日の傘って感じだね(笑)
投稿者：次の日、公園の公衆トイレでもう一本きれいな傘を見つけたんだ。
編者：この傘、なんか高級そうだね。持ち主、きっとショックだったと思う。
投稿者：そうそう。帰りに公園を通ったらまだあって、2回目に見たときにそのまま持ち帰って、今まで使ってるよ(笑)","Sender: How about this umbrella? For a while, I was really into taking photos of umbrellas forgotten in street corners.
Editor: Oh, that's perfect Haha, looks exactly like what you'd see after a typhoon.
Sender: The next day, I found another beautiful umbrella inside a public restroom at the park.
Editor: This one looks pretty high-end. I bet the owner was devastated to lose it
Sender: Totally. I saw it was still there when I passed the park on the bus, so the second time I went by, I just took it home. It's been put to good use ever since! (Laughs)"
"","rednote_129096578","","@rednote/129096578","","","2026/05/10","2026/02/08 20:21","approx. inside a JR Chuo-Sobu Line (Local Service)","","投稿者：あの日、雨なのに傘を持ってなくて。電車に乗ったら、すごく新しくて高級そうな傘を見つけて、正直、拾って帰りたいなーって思っちゃいました。","Sender: It was raining that day and I didn't have an umbrella. When I got on, I saw this brand-new, really premium-looking umbrella, and I was so tempted to just take it home lol"
"","rednote_181192404","","@rednote_181192404","","","2026/05/22","2026/05/22","Ōsu Kannon Station, Naka Ward, Nagoya, Aichi","","",""
"","rednote_186833939","","@rednote/186833939","ハートですね♥","It's a heart♥","2026/04/21","2026/04/19 20:11","approx. Kawaguchi City, Saitama","","投稿者：忘れられた傘じゃないかもしれないけど、これ、ハートですね♥","Sender: It might not be a forgotten umbrella, but it's a heart♥"
"","rednote_2352131487","","@rednote/2352131487","","","2026/04/23","approx. 2026/04","approx. Kanagawa, Japan","","",""
"","rednote_26215291992","","@rednote/26215291992","","","2026/05/05","2026/04/25 08:20","Takadanobaba Station Square, Shinjuku City, Tokyo","","",""
"","rednote_5648778497","","@rednote/5648778497","","","2026/04/30","2026/04/30","approx. inside a Keio Line train (Keio Railway), Tokyo","","",""
"","rednote_621639248","","@rednote/621639248","","","2026/04/21","2024/03/19","approx. Shanghai, China","","投稿者：世界にまた一本、悲しい傘が増えました。
編者：世界にまた一つ、悲しい傘の骨組みが増えました。","Sender: The world just got one more sad umbrella.
Editor: The world just got one more sad umbrella skeleton."
"","rednote_9732476585","","@rednote/9732476585","","","2026/04/24","2026/03/26","approx. under the elevated roadway, Higashi-Ikebukuro, Toshima City, Tokyo","rednote_9732476585_1_2.jpg","投稿者：この傘、すごく惹かれるものがあったので、帰ってからこれをもとに絵を描いてみました。","Sender: I really felt a vibe from this umbrella, so I actually went home and did a painting based on it."
"","rednote_Evelyn","","@rednote_Evelyn","","","2026/06/18","unknown","the Tōbu-side exit of Ikebukuro Station, Toshima Ward, Tokyo","","",""
"","rednote_kankan(1)","","@rednote/kankan","","","2026/04/29","2026/04/28","approx. Shiga, Japan","","",""
"","rednote_kankan(2)","","@rednote/kankan","","","2026/05/02","2026/05/02 17:53","approx. Shijo Kawaramachi, Nakagyo Ward, Kyoto","","",""
"","rednote_Last.Coffee","","@rednote_Last.Coffee","","","2026/04/23","approx. unknown","approx. Miyagi, Sendai City","","投稿者：たしか、電線ボックスのカバー？フェンス？に掛かっていて、模様も入っていた気がする。","Sender: I think it was hanging on the cover of an electrical box? Or a fence? And it had a pattern on it, as I recall."
"","rednote_sanponimabi","","@rednote/sanponimabi","第一発見現場ではない","Not the Original Scene","2026/05/08","approx. 2026/05/08 18:00","approx. Bunka Fashion College, Yoyogi, Shibuya City, Tokyo","","投稿者：今日、学校帰りに撮った。雨が降りそうだったけど結局降らなくて、そのまま忘れられたのかも。持ち手も壊れてたし、画で飛ばされてきた可能性もある。もしかしたら「第一現場」じゃないかもしれない。","Sender: I took this after school today. It looked like it was going to rain but never did, so I guess the owner just forgot it. The handle is broken too, so maybe it was blown here by the wind. Where I found it might not ever be the ""original scene"""
"","TENGYUAN","","TENGYUAN","","","2026/06/27","2026/06/27 12:38","near check-in counters B and C, international departures floor, Terminal 1, Kansai International Airport, Izumisano City, Osaka","","",""
"","WQD","","WQD","傘ではないけど","Not an Umbrella, But…","2026/04/23","approx. 2024/10","approx. Gifu University, Gifu, Japan","","投稿者：私の写真ちょっとテーマから外れてるかもしれない。
編者：いや、これもすごく面白いよ。直接傘は写ってないけど、この掲示の向こうにたくさん傘があるのが想像できるし、全然外れてないと思う。
投稿者：そうそう、そのときこの写真すごく気に入ってて。あそこ、ほんとにかわいい傘がたくさんあったんだ。","Sender: My submission might be a bit off-topic
Editor: No. I think it's actually really interesting. Even though there's no umbrella in the photo, you can imagine there are a bunch of them behind that sign. I don't think it's off-topic at all.
Sender: Yeah, exactly. I really liked that photo at the time. There were a lot of really cute umbrellas there."
"","yaomenyuan_3","★ yaomenyuan","yaomenyuan","","","2026/06/07","approx. 2026/06/07","inside Shijō Station on the Karasuma Line, Nakagyo Ward, Kyoto","yaomenyuan_2.jpeg","",""
"","yueliang_1_","★ yueliang(1)","yueliang","","","2026/06/11","2026/06/11 12:46","monthly parking lot near Kujo Kawaramachi bus stop, Minami Ward, Kyoto","","",""
"","yueliang_2__2","★ yueliang(2)","yueliang","","","2026/06/21","2026/06/21 20:48","in front of Lawson Store 100 Kujō-Kawaramachi, Minami Ward, Kyoto","","",""
