"隐藏","文件夹名","标题(日)","标题(英)","时间","类型","object","显示地址(英)","补充照片","段落(日)","段落(英)","显示名"
"✓ 已隐藏","IMG_1251","","","2026/07/20 19:55","hookable(affordance)","transparent long umbrella","Kyoto, Kyoto City, Minami Ward","","","",""
"✓ 已隐藏","IMG_1467","","","2026/06/09 18:21","placement(behavior)","long umbrella","Kyoto, Kyoto City, Minami Ward","IMG_1466.jpeg","","",""
"✓ 已隐藏","IMG_8955","","","2026/05/22 14:58","hookable(affordance)","unknown long umbrella","Kyoto, Kyoto City, Minami Ward","","","",""
"","IMG_0070","","","2026/06/20 17:49","placement(behavior)","transparent long umbrella","in front of the Asukaichō bus stop, Sakyo Ward, Kyoto","IMG_0068.jpeg","","",""
"","IMG_0101","","","2026/06/23 19:07","placement(behavior)","transparent long umbrella","the intersection southwest of the Minami-Karasuma municipal housing, Minami Ward, Kyoto","IMG_0099.jpeg","","",""
"","IMG_0162","","","2026/06/26 18:22","hookable(affordance)","transparent long umbrella","chocoZAP Kujo, Minami Ward, Kyoto","IMG_0160.jpeg ; IMG_0158.jpeg ; IMG_0998.jpeg ; IMG_1018.jpeg ; IMG_1063.jpeg ; IMG_1179.jpeg","","",""
"","IMG_0298","","","2026/06/27 23:24","hookable(affordance)","four transparent long umbrella","next to 7-Eleven Kyoto Aburanokōji-Kujō, Minami Ward, Kyoto","IMG_0300.jpeg","","",""
"","IMG_0316","","","2026/06/28 07:33","hookable(affordance)","blue folding","the entrance of JR Mikumo Station, Konan City, Shiga","","","",""
"","IMG_0364","","","2026/06/28 08:39","drop(behavior)","transparent long umbrella","about 200 m northwest of the Kōjibukuro-nishi traffic signal, Konan City, Shiga","IMG_0367.jpeg","","",""
"","IMG_0739","","","2026/06/28 17:16","corner(affordance)","transparent long umbrella","pedestrian path in front of the northeast entrance beside Higashiyama Tunnel, Yamashina Ward, Kyoto","IMG_0736.jpeg","","",""
"","IMG_0791","","","2026/06/28 18:41","drop(behavior)","transparent long umbrella","a parking lot in Nakafudatsujichō, Minami Ward, Kyoto","IMG_0792.jpeg","","",""
"","IMG_0932","","","2026/07/02 13:08","drop(behavior)","patterned long umbrella","south side of the underground pedestrian passage beside the Kyoto City University of Arts campus, Shimogyo Ward, Kyoto","IMG_0929.jpeg ; IMG_0996.jpeg","","",""
"","IMG_0935","","","2026/07/02 18:39","payment(behavior)","three transparent long umbrella","a vending machine in front of Building 1, Mibu-Bōjō Danchi No. 2, Nakagyo Ward, Kyoto","IMG_0937.jpeg ; IMG_0939.jpeg","","",""
"","IMG_0945","","","2026/07/02 18:51","drop(behavior)","transparent long umbrella","across from Kirindo Sanjō-Onmae, Nakagyo Ward, Kyoto","IMG_0941.jpeg","","",""
"","IMG_0948","","","2026/07/02 18:57","corner(affordance)","black long umbrella","in front of an abandoned building beside the Shijō-Onmae bus stop, Nakagyo Ward, Kyoto","IMG_0955.jpeg ; IMG_0951.jpeg","","",""
"","IMG_0956","","","2026/07/02 19:00","disposal(behavior)","unknown","intersection of Doinouchi-kita-dōri and Nishi-Doi-dōri, Nakagyo Ward, Kyoto","IMG_0965.jpeg ; IMG_0969.jpeg ; IMG_0966.jpeg","","",""
